"species","file","raw_rows","post_burnin_rows","kept","reason"
"Desmognathus_imitator","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_15.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_16.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_17.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_18.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_19.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_20.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_imitator","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_marmoratus","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_15.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_monticola","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_10.pars.log",5001,2001,TRUE,"kept"
